"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,207,"SVK","Slovakia",1,"Žilinský","SK.ZI",NA,"","Kraj","Region","","Žilina"
2,207,"SVK","Slovakia",2,"Banskobystrický","SK.BC",NA,"","Kraj","Region","","Banská Bystrica"
3,207,"SVK","Slovakia",3,"Bratislavský","SK.BL",NA,"","Kraj","Region","","Bratislava"
4,207,"SVK","Slovakia",4,"Košický","SK.KI",NA,"","Kraj","Region","","Košice"
5,207,"SVK","Slovakia",5,"Nitriansky","SK.NI",NA,"","Kraj","Region","","Nitra"
6,207,"SVK","Slovakia",6,"Prešovský","SK.PV",NA,"","Kraj","Region","",""
7,207,"SVK","Slovakia",7,"Trenciansky","SK.TC",NA,"","Kraj","Region","","Trencín"
8,207,"SVK","Slovakia",8,"Trnavský","SK.TA",NA,"","Kraj","Region","","Trnava"
